,precision,recall,f1-score,support
Negatif,0.9461077844311377,0.9080459770114943,0.9266862170087976,174.0
Netral,0.8882978723404256,0.9277777777777778,0.907608695652174,180.0
Positif,0.6666666666666666,0.6521739130434783,0.6593406593406593,46.0
accuracy,0.8875,0.8875,0.8875,0.8875
macro avg,0.8336907744794099,0.82933255594425,0.8312118573338769,400.0
weighted avg,0.887957595447403,0.8875,0.8873565932664811,400.0
